H_f          f
34.667969    9.208896
35.156250    9.215207
36.132813    9.222465
37.109375    9.229898
38.574219    9.237208
39.550781    9.244532
40.527344    9.252132
41.503906    9.260023
42.480469    9.267677
42.968750    9.275473
43.457031    9.283289
43.457031    9.291262
43.945313    9.298918
44.433594    9.306743
45.410156    9.314541
44.921875    9.322751
43.457031    9.330579
43.945313    9.338465
44.921875    9.346460
46.386719    9.354710
47.363281    9.362888
46.386719    9.371092
46.386719    9.379311
45.898438    9.387520
45.410156    9.395737
44.921875    9.404046
44.433594    9.412170
45.898438    9.420173
45.898438    9.428366
46.386719    9.436630
46.386719    9.444785
46.386719    9.453272
46.875000    9.461736
48.339844    9.469848
49.804688    9.477774
50.292969    9.485908
50.292969    9.493957
49.804688    9.502052
50.292969    9.509861
49.804688    9.517597
49.316406    9.525424
48.339844    9.533325
48.339844    9.541192
49.804688    9.549112
51.757813    9.557005
52.246094    9.564604
51.269531    9.572149
49.804688    9.579820
48.339844    9.587290
46.875000    9.594843
44.433594    9.602133
41.015625    9.609644
38.574219    9.617168
37.597656    9.624529
37.109375    9.631751
36.621094    9.639106
35.156250    9.646364
34.667969    9.653730
35.156250    9.660707
36.132813    9.667914
37.597656    9.674829
37.597656    9.681863
36.132813    9.688760
35.156250    9.695518
34.179688    9.702244
32.714844    9.708807
31.738281    9.715454
29.785156    9.722003
28.320313    9.728791
26.855469    9.735382
26.367188    9.741799
25.878906    9.748167
25.878906    9.754553
26.367188    9.760825
26.855469    9.767042
28.320313    9.773333
29.296875    9.779496
29.785156    9.785606
29.785156    9.791503
29.296875    9.797381
28.808594    9.803291
28.320313    9.808934
27.343750    9.814750
26.367188    9.820725
24.902344    9.826413
23.437500    9.832219
22.460938    9.837820
22.460938    9.843413
21.972656    9.849046
21.484375    9.854498
21.972656    9.859840
22.460938    9.865227
22.460938    9.870606
22.949219    9.876023
22.949219    9.881356
23.437500    9.886565
23.437500    9.891764
24.414063    9.896668
24.902344    9.901530
24.902344    9.906402
25.390625    9.911574
25.390625    9.915914
25.390625    9.920665
24.902344    9.925493
23.964844    9.930158
23.437500    9.934864
22.949219    9.939428
21.972656    9.944031
21.484375    9.948613
20.507813    9.953084
20.507813    9.957762
20.507813    9.962190
20.507813    9.966606
20.996094    9.970834
20.996094    9.975082
21.484375    9.979368
21.972656    9.983637
22.460938    9.987906
22.949219    9.992165
23.437500    9.998545
23.437500    9.999470
23.437500    9.999473
23.437500    9.999468
23.437500    9.999461
23.437500    9.999454
23.437500    9.999446
23.437500    9.999437
23.437500    9.999429
23.437500    9.999424
23.437500    9.999424
